year,country,happiness_score,happiness_status
2016,Denmark,7.526,Green
2016,Switzerland,7.5089999999999995,Green
2016,Iceland,7.501,Green
2016,Norway,7.497999999999999,Green
2016,Finland,7.412999999999999,Green
2016,Canada,7.404,Green
2016,Netherlands,7.3389999999999995,Green
2016,New Zealand,7.334,Green
2016,Australia,7.313,Green
2016,Sweden,7.291,Green
2016,Israel,7.267,Green
2016,Austria,7.119,Green
2016,United States,7.104,Green
2016,Costa Rica,7.087000000000001,Green
2016,Puerto Rico,7.039,Green
2016,Germany,6.994,Green
2016,Brazil,6.952000000000001,Green
2016,Belgium,6.928999999999999,Green
2016,Ireland,6.907,Green
2016,Luxembourg,6.871,Green
2016,Mexico,6.778,Green
2016,Singapore,6.739,Green
2016,United Kingdom,6.725,Green
2016,Chile,6.705,Green
2016,Panama,6.7010000000000005,Green
2016,Argentina,6.65,Green
2016,Czech Republic,6.596,Green
2016,United Arab Emirates,6.5729999999999995,Green
2016,Uruguay,6.545,Green
2016,Malta,6.4879999999999995,Green
2016,Colombia,6.481,Green
2016,France,6.478,Green
2016,Thailand,6.474,Green
2016,Saudi Arabia,6.379,Green
2016,Taiwan,6.379,Green
2016,Qatar,6.375,Green
2016,Spain,6.361000000000001,Green
2016,Algeria,6.355,Green
2016,Guatemala,6.324,Green
2016,Suriname,6.269,Green
2016,Kuwait,6.239,Green
2016,Bahrain,6.218,Green
2016,Trinidad and Tobago,6.167999999999999,Green
2016,Venezuela,6.084,Green
2016,Slovakia,6.077999999999999,Green
2016,El Salvador,6.068,Green
2016,Malaysia,6.005,Green
2016,Nicaragua,5.992000000000001,Green
2016,Uzbekistan,5.987,Green
2016,Italy,5.977,Green
2016,Ecuador,5.976,Green
2016,Belize,5.956,Green
2016,Japan,5.921,Green
2016,Kazakhstan,5.919,Green
2016,Moldova,5.897,Green
2016,Russia,5.856,Green
2016,Poland,5.835,Green
2016,South Korea,5.835,Green
2016,Bolivia,5.822,Green
2016,Lithuania,5.813,Green
2016,Belarus,5.8020000000000005,Green
2016,North Cyprus,5.771,Green
2016,Slovenia,5.768,Green
2016,Peru,5.742999999999999,Green
2016,Turkmenistan,5.6579999999999995,Green
2016,Mauritius,5.648,Green
2016,Libya,5.615,Green
2016,Latvia,5.56,Amber
2016,Cyprus,5.546,Amber
2016,Paraguay,5.537999999999999,Amber
2016,Romania,5.528,Amber
2016,Estonia,5.517,Amber
2016,Jamaica,5.51,Amber
2016,Croatia,5.4879999999999995,Amber
2016,Hong Kong,5.457999999999999,Amber
2016,Somalia,5.44,Amber
2016,Kosovo,5.401,Amber
2016,Turkey,5.388999999999999,Amber
2016,Indonesia,5.314,Amber
2016,Jordan,5.303,Amber
2016,Azerbaijan,5.291,Amber
2016,Philippines,5.279,Amber
2016,China,5.245,Amber
2016,Bhutan,5.196000000000001,Amber
2016,Kyrgyzstan,5.185,Amber
2016,Serbia,5.1770000000000005,Amber
2016,Bosnia and Herzegovina,5.162999999999999,Amber
2016,Montenegro,5.1610000000000005,Amber
2016,Dominican Republic,5.155,Amber
2016,Morocco,5.151,Amber
2016,Hungary,5.145,Amber
2016,Pakistan,5.132000000000001,Amber
2016,Lebanon,5.129,Amber
