year,country,country_url,region_code,region,rank_per_region,overall_rank,happiness_score,happiness_status,gdp_per_capita,family,social_support,healthy_life_expectancy,freedom_life_choices,generosity,corruption
2016,Denmark,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,150.0,EUROPE,1.0,1,7.526,Green,1.4417799999999998,1.16374,,0.79504,0.5794100000000001,0.44453000000000004,0.36171
2016,Switzerland,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,150.0,EUROPE,2.0,2,7.5089999999999995,Green,1.5273299999999999,1.14524,,0.86303,0.58557,0.41203,0.28083
2016,Iceland,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,150.0,EUROPE,3.0,3,7.501,Green,1.42666,1.18326,,0.8673299999999999,0.56624,0.14975,0.47678000000000004
2016,Norway,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,150.0,EUROPE,4.0,4,7.497999999999999,Green,1.57744,1.1269,,0.79579,0.59609,0.35775999999999997,0.37895
2016,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,150.0,EUROPE,5.0,5,7.412999999999999,Green,1.40598,1.1346399999999999,,0.81091,0.57104,0.41003999999999996,0.25492
2016,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19.0,AMERICAS,1.0,6,7.404,Green,1.44015,1.0961,,0.8276,0.5737,0.31329,0.44833999999999996
2016,Netherlands,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,150.0,EUROPE,6.0,7,7.3389999999999995,Green,1.46468,1.02912,,0.8123100000000001,0.55211,0.29927,0.47416
2016,New Zealand,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg,9.0,OCEANIA,1.0,8,7.334,Green,1.36066,1.17278,,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006
2016,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,9.0,OCEANIA,2.0,9,7.313,Green,1.4444299999999999,1.10476,,0.8512,0.5683699999999999,0.32331,0.47407
2016,Sweden,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,150.0,EUROPE,7.0,10,7.291,Green,1.45181,1.08764,,0.83121,0.58218,0.40867,0.38254
2016,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,142.0,ASIA,1.0,11,7.267,Green,1.33766,0.9953700000000001,,0.8491700000000001,0.36432,0.08728,0.32288
2016,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150.0,EUROPE,8.0,12,7.119,Green,1.45038,1.0838299999999998,,0.80565,0.54355,0.21348000000000003,0.32865
2016,United States,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,19.0,AMERICAS,2.0,13,7.104,Green,1.50796,1.04782,,0.779,0.48163,0.14868,0.41076999999999997
2016,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,19.0,AMERICAS,3.0,14,7.087000000000001,Green,1.06879,1.02152,,0.76146,0.55225,0.10547000000000001,0.22553
2016,Puerto Rico,,19.0,AMERICAS,4.0,15,7.039,Green,1.35943,1.08113,,0.77758,0.46823000000000004,0.12275,0.22202
2016,Germany,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,150.0,EUROPE,9.0,16,6.994,Green,1.44787,1.09774,,0.81487,0.53466,0.28551,0.30451999999999996
2016,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19.0,AMERICAS,5.0,17,6.952000000000001,Green,1.08754,1.03938,,0.61415,0.40425,0.14165999999999998,0.15775999999999998
2016,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150.0,EUROPE,10.0,18,6.928999999999999,Green,1.42539,1.05249,,0.8195899999999999,0.51354,0.26248,0.2424
2016,Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,150.0,EUROPE,11.0,19,6.907,Green,1.4834100000000001,1.16157,,0.81455,0.54008,0.29754,0.44963000000000003
2016,Luxembourg,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,150.0,EUROPE,12.0,20,6.871,Green,1.6975200000000001,1.03999,,0.8454200000000001,0.5487,0.35329,0.27571
2016,Mexico,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,19.0,AMERICAS,6.0,21,6.778,Green,1.1150799999999998,0.7146,,0.71143,0.37709000000000004,0.18355,0.11735
2016,Singapore,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,142.0,ASIA,2.0,22,6.739,Green,1.64555,0.8675799999999999,,0.94719,0.4877,0.46986999999999995,0.32706
2016,United Kingdom,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,150.0,EUROPE,13.0,23,6.725,Green,1.40283,1.0867200000000001,,0.80991,0.50036,0.27399,0.50156
2016,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19.0,AMERICAS,7.0,24,6.705,Green,1.2167,0.9058700000000001,,0.8188300000000001,0.37789,0.11450999999999999,0.31595
2016,Panama,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,19.0,AMERICAS,8.0,25,6.7010000000000005,Green,1.18306,0.9891200000000001,,0.70835,0.48927,0.08423,0.2418
2016,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,19.0,AMERICAS,9.0,26,6.65,Green,1.15137,1.0661200000000002,,0.69711,0.42283999999999994,0.07296,0.10989000000000002
2016,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,150.0,EUROPE,14.0,27,6.596,Green,1.30915,1.00793,,0.76376,0.41418,0.03986,0.09929
2016,United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,142.0,ASIA,3.0,28,6.5729999999999995,Green,1.57352,0.8711399999999999,,0.72993,0.56215,0.35561,0.26591
2016,Uruguay,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,19.0,AMERICAS,10.0,29,6.545,Green,1.18157,1.0314299999999998,,0.72183,0.54388,0.21394000000000002,0.18056
2016,Malta,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,150.0,EUROPE,15.0,30,6.4879999999999995,Green,1.30782,1.09879,,0.80315,0.54994,0.17554,0.56237
2016,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,19.0,AMERICAS,11.0,31,6.481,Green,1.0303200000000001,1.02169,,0.59659,0.44735,0.053989999999999996,0.15625999999999998
2016,France,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,150.0,EUROPE,16.0,32,6.478,Green,1.39488,1.00508,,0.83795,0.46562,0.17808,0.1216
2016,Thailand,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,142.0,ASIA,4.0,33,6.474,Green,1.0893,1.04477,,0.64915,0.49553,0.02833,0.58696
2016,Saudi Arabia,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,142.0,ASIA,5.0,34,6.379,Green,1.48953,0.84829,,0.59267,0.37904,0.30008,0.15457
2016,Taiwan,,142.0,ASIA,5.0,34,6.379,Green,1.39729,0.92624,,0.79565,0.32377,0.0663,0.25495
